Tier,Technology,Architecture,Value
B/S1:1.75,Java,MSx1,2.99811
B/S1:1.75,Java,MSx1,2.99809
B/S1:1.75,Java,MSx1,2.99808
B/S1:1.75,Java,MSx1,2.99906
B/S1:1.75,Java,MSx1,2.998
B/S1:1.75,Java,MSx1,2.99781
B/S1:1.75,Java,MSx1,2.99708
B/S1:1.75,Java,MSx1,2.99634
S2:3.5,Java,MSx1,3.62499
S2:3.5,Java,MSx1,3.62695
S2:3.5,Java,MSx1,3.62745
S2:3.5,Java,MSx1,3.62879
S2:3.5,Java,MSx1,3.62875
S2:3.5,Java,MSx1,3.62875
S2:3.5,Java,MSx1,3.62867
S2:3.5,Java,MSx1,3.62862
S2:3.5,Java,MSx1,3.62853
S2:3.5,Java,MSx1,3.62849
S2:3.5,Java,MSx1,3.62843
S2:3.5,Java,MSx1,3.62839
S2:3.5,Java,MSx1,3.62835
S2:3.5,Java,MSx1,3.62772
S2:3.5,Java,MSx1,3.62776
S2:3.5,Java,MSx1,3.62775
S2:3.5,Java,MSx1,3.62858
S2:3.5,Java,MSx1,3.62858
S2:3.5,Java,MSx1,3.62847
S2:3.5,Java,MSx1,3.62842
S4:7,Java,MSx1,3.67852
S4:7,Java,MSx1,3.68079
S4:7,Java,MSx1,3.6808
S4:7,Java,MSx1,3.68086
S4:7,Java,MSx1,3.68098
S4:7,Java,MSx1,3.68095
S4:7,Java,MSx1,3.68092
S4:7,Java,MSx1,3.68092
S4:7,Java,MSx1,3.68089
S4:7,Java,MSx1,3.68088
S4:7,Java,MSx1,3.6808
S4:7,Java,MSx1,3.68073
S4:7,Java,MSx1,3.68073
S4:7,Java,MSx1,3.67855
S4:7,Java,MSx1,3.67855
S4:7,Java,MSx1,3.67879
S4:7,Java,MSx1,3.68049
S4:7,Java,MSx1,3.6805
S4:7,Java,MSx1,3.68048
S4:7,Java,MSx1,3.68046
S2:3.5,.NET,MSx1,3.69571
S2:3.5,.NET,MSx1,3.69797
S2:3.5,.NET,MSx1,3.69799
S2:3.5,.NET,MSx1,3.69799
S2:3.5,.NET,MSx1,3.69754
S2:3.5,.NET,MSx1,3.69754
S2:3.5,.NET,MSx1,3.69754
S2:3.5,.NET,MSx1,3.69755
S2:3.5,.NET,MSx1,3.69757
S2:3.5,.NET,MSx1,3.69754
S2:3.5,.NET,MSx1,3.69754
S2:3.5,.NET,MSx1,3.69755
S2:3.5,.NET,MSx1,3.69751
S2:3.5,.NET,MSx1,3.69755
S2:3.5,.NET,MSx1,3.69758
S2:3.5,.NET,MSx1,3.69593
S2:3.5,.NET,MSx1,3.69582
S2:3.5,.NET,MSx1,3.69736
S2:3.5,.NET,MSx1,3.69721
S2:3.5,.NET,MSx1,3.6971
S4:7,.NET,MSx1,3.74302
S4:7,.NET,MSx1,3.74547
S4:7,.NET,MSx1,3.74549
S4:7,.NET,MSx1,3.74552
S4:7,.NET,MSx1,3.74555
S4:7,.NET,MSx1,3.74562
S4:7,.NET,MSx1,3.74568
S4:7,.NET,MSx1,3.74568
S4:7,.NET,MSx1,3.74562
S4:7,.NET,MSx1,3.74565
S4:7,.NET,MSx1,3.74376
S4:7,.NET,MSx1,3.74374
S4:7,.NET,MSx1,3.74373
S4:7,.NET,MSx1,3.74371
S4:7,.NET,MSx1,3.74373
S4:7,.NET,MSx1,3.74371
S4:7,.NET,MSx1,3.74369
S4:7,.NET,MSx1,3.74546
S4:7,.NET,MSx1,3.74544
S4:7,.NET,MSx1,3.74541
B/S1:1.75,.NET,MSx3,3.62366
