Architektura,Spec,throughput,cost,dominating
Monolit,1 CPU 1 GB RAM,11.036675,2.16,tak
Monolit,3 CPU 3 GB RAM,11.60628,6.48,tak
Monolit,4 CPU 6 GB RAM,11.636785,9.12,tak
Mikroserwisy,1 x 1 CPU 1 GB RAM,10.58285,4.32,nie
Mikroserwisy,1 x 3 CPU 3 GB RAM,11.621985,8.64,tak
Mikroserwisy,3 x 1 CPU 1 GB RAM,11.15028,8.34,nie
Mikroserwisy,6 x 1 CPU 1 GB RAM,11.7475,15.12,nie
Mikroserwisy,2 x 2 CPU 2 GB RAM,11.99355,10.8,tak
